ecocrop_id,scientific_name,life_form,physiology,habit,category,life_span,plant_attributes,soil_depth,temperature_c_opt_min,temperature_c_opt_max,temperature_c_abs_min,temperature_c_abs_max,soil_texture,rainfall_mm_opt_min,rainfall_mm_opt_max,rainfall_mm_abs_min,rainfall_mm_abs_max,soil_fertility,latitude_deg_opt_min,latitude_deg_opt_max,latitude_deg_abs_min,latitude_deg_abs_max,altitude_m_abs_max,soil_salinity,soil_ph_opt_min,soil_ph_opt_max,soil_ph_abs_min,soil_ph_abs_max,soil_drainage,light_intensity,climate_zone,photoperiod,killing_temp_rest,killing_temp_growth,abiotic_tolerance,production_system,ecocrop_name,analyst_note,rainfall_data_status,altitude_category,soil_salinity_clean,waterlogging_sensitivity,drought_tolerance,light_intensity_clean,climate_zone_cleaned,photoperiod_cleaned,killing_temp_rest_cleaned,killing_temp_growth_cleaned,crop_cycle_min_days,crop_cycle_max_days,Average Crop Life Cycle,mixed,commercial,home_garden,smallscale,largeland
652,Catharanthus roseus,"herb, sub-shrub",multi stem,erect,"ornamentals/turf, medicinals & aromatics","annual, perennial","grown on large scale, grown on small scale",medium (50-150 cm),20.0,30.0,10.0,34.0,medium,1000.0,1200.0,800.0,1400.0,high,,,45.0,60.0,,low (<4 dS/m),6.0,7.0,5.5,7.5,well (dry spells),very bright | very bright | very bright | clear skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw) | Photoperiod | short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",no input | Killing temp. early growth | no input,no input,Abiotic suscept.,"home garden, large scale/commercial | Crop cycle | 180 | 365",Catharanthus roseus,"SEVERELY CONSTRAINED BY ALKALINITY. Absolute pH ceiling 7.5 versus Egyptian topsoil of 7.1-8.2, so only three governorates qualify. This is the central irony of the project: the species with the highest-value active ingredients (vincristine, vinblastine) is among the worst suited to Egyptian soil.",Data available,Not Specified,Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",Flexible / Any,Not Specified,Not Specified,180,365,272.5,False,True,True,False,True
841,Cymbopogon citratus,grass,"evergreen, multi stem",erect,"materials, ornamentals/turf",perennial,grown on small scale,medium (50-150 cm),24.0,30.0,18.0,34.0,medium,1500.0,3000.0,700.0,4200.0,moderate,,,20.0,20.0,1400.0,low (<4 dS/m),5.0,5.8,4.3,7.3,well (dry spells),very bright | very bright | very bright | clear skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical dry summer (Cs) | Photoperiod | short day (<12 hours)",short day (<12 hours),10 | Killing temp. early growth | 0,0,Abiotic suscept.,home garden | Crop cycle | 120 | 365,Cymbopogon citratus,"SCORES ZERO IN ALL 27 GOVERNORATES. Its pH range does not overlap Egyptian soils. This is a genuine negative result, not missing data, and is useful as a contrast case in the write-up.",Data available,Highland (>1200m),Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"tropical wet & dry (Aw), tropical wet (Ar), subtropical dry summer (Cs)",Short Day (<12h),10,0,120,365,242.5,False,False,True,False,False
870,Datura stramonium,herb,Not Specified,erect,medicinals & aromatics,annual,"grown on small scale, harvested from wild",Not Specified,20.0,30.0,10.0,40.0,Not Specified,,,,,high,30.0,30.0,55.0,63.0,,,6.5,8.0,6.0,8.5,well (dry spells),,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc) | Photoperiod",,no input | Killing temp. early growth | no input,no input,Abiotic suscept.,"home garden, small scale (manual) | Crop cycle | 0 | 0",Datura stramonium,"TEMPERATURE IS DERIVED, NOT MEASURED. EcoCrop gives no temperature for this species. Optimum 20-30 C derived from a seedling stress study (best growth at 25 C, depressed at 10/20/40/50 C) plus the measured germination optimum 20-35 C. Absolute floor 10 C is the measured base temperature for germination, used as a proxy for the growth floor. Ceiling 40 C is where growth is depressed but plants survive. TOXIC AND REGULATED: all parts lethally toxic; the Egyptian Drug Authority classifies it prescription-only. No Egypt cultivation ban found, but a tropane-alkaloid crop would need pharmaceutical licensing, not ordinary crop status. Treat as biophysically suitable but institutionally constrained.",Missing - reason undocumented,Not Specified,Not Specified,Moderate (standard well-drained need),High (tolerates dry conditions),Not Specified,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",Not Specified,Not Specified,Not Specified,56,140,98.0,False,False,True,True,False
1107,Foeniculum vulgare,herb,single stem,erect,"vegetables, materials, medicinals & aromatics","biennial, perennial",grown on large scale,medium (50-150 cm),15.0,25.0,6.0,32.0,medium,700.0,1500.0,300.0,2600.0,high,,,45.0,45.0,2500.0,low (<4 dS/m),6.5,7.5,4.8,8.2,well (dry spells),very bright | very bright | very bright | clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw) | Photoperiod | long day (>14 hours)",long day (>14 hours),-5 | Killing temp. early growth | -2,-2,Abiotic suscept.,"home garden, large scale/commercial | Crop cycle | 30 | 110",Foeniculum vulgare,No specific observations were recorded,Data available,Highland (>1200m),Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",Long Day (>14h),-5,-2,30,110,70.0,False,True,True,False,True
1866,Ricinus communis,"shrub, tree",Not Specified,erect,medicinals & aromatics,perennial,grown on small scale,deep (>>150 cm),20.0,30.0,15.0,39.0,medium,600.0,1000.0,400.0,2000.0,high,,,50.0,60.0,2000.0,low (<4 dS/m),5.0,6.5,4.5,8.0,well (dry spells),very bright | very bright | very bright | clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs) | Photoperiod | neutral day (12-14 hours), long day (>14 hours)","neutral day (12-14 hours), long day (>14 hours)",-2 | Killing temp. early growth | 0,0,Abiotic suscept.,Crop cycle | 140 | 210,Ricinus communis,No specific observations were recorded,Data available,Highland (>1200m),Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs)",Long Day (>14h),-2,0,140,210,175.0,False,False,False,False,False
2099,Mentha piperita,herb,Not Specified,erect,medicinals & aromatics,perennial,grown on large scale,shallow (20-50 cm),15.0,25.0,4.0,35.0,"medium, organic",1000.0,2200.0,700.0,4000.0,high,40.0,,50.0,50.0,1000.0,low (<4 dS/m),5.5,6.5,4.5,8.3,well (dry spells),very bright | clear skies | very bright | light shade,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw) | Photoperiod | short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",-8 | Killing temp. early growth | 0,0,Abiotic suscept.,large scale/commercial | Crop cycle | 40 | 330,Mentha piperita,No specific observations were recorded,Data available,Mid-Altitude (501-1200m),Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",Flexible / Any,-8,0,40,330,185.0,False,True,False,False,True
2412,Salvia officinalis,sub-shrub,Not Specified,erect,medicinals & aromatics,perennial,grown on large scale,medium (50-150 cm),15.0,26.0,5.0,30.0,medium,500.0,1000.0,300.0,1500.0,high,30.0,20.0,50.0,60.0,1000.0,low (<4 dS/m),5.0,6.5,4.2,8.3,well (dry spells),very bright | very bright | very bright | clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw) | Photoperiod | short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",no input | Killing temp. early growth | no input,no input,Abiotic suscept.,"home garden, large scale/commercial | Crop cycle | 120 | 240",Salvia officinalis,No specific observations were recorded,Data available,Mid-Altitude (501-1200m),Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",Flexible / Any,Not Specified,Not Specified,120,240,180.0,False,True,True,False,True
3392,Artemisia annua,herb,multi stem,erect,"medicinals & aromatics, environmental","annual, biennial",grown on small scale,medium (50-150 cm),13.0,29.0,10.0,35.0,"light, medium",600.0,1300.0,300.0,1500.0,high,32.0,30.0,58.0,60.0,3600.0,,6.0,8.0,5.5,8.5,well (dry spells),clear skies | very bright | light shade | very bright,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc) | Photoperiod | neutral day (12-14 hours)",neutral day (12-14 hours),no input | Killing temp. early growth | no input,no input,Abiotic suscept.,"small scale (manual), intermediate (animal drawn) | Crop cycle | 170 | 190",Artemisia annua,No specific observations were recorded,Data available,Highland (>1200m),Not Specified,Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",Day Neutral (12-14h),Not Specified,Not Specified,170,190,180.0,False,False,False,True,False
3558,Atropa belladonna,herb,Not Specified,erect,medicinals & aromatics,perennial,grown on small scale,Not Specified,20.0,26.0,8.0,35.0,"medium, heavy, organic",,,,,not specified,,,,,,"glycophyte, no salt tolerance (EIVE salinity 0)",7.0,8.2,5.5,8.5,"well drained, moisture retentive; waterlogging fatal",sun or partial shade; alkaloid content highest in full sun,temperate to montane; grown as a WINTER crop in subtropical areas,,no input | Killing temp. early growth | no input,no input,Abiotic suscept.,large scale/commercial,Atropa belladonna,"A CALCICOLE: EGYPTIAN ALKALINE SOIL IS ITS PREFERRED REACTION, NOT MERELY TOLERATED. Its EcoCrop page exists but holds no numeric values, so requirements were entered from literature. EIVE Reaction 7.4/10; NC State lists tolerance above pH 8.0. TNAU classifies it as a winter crop in subtropical areas, matching an Oct-Nov transplant. Its native range already includes Morocco and Algeria. BINDING CONSTRAINT IS SALINITY, NOT pH OR HEAT: it is a glycophyte with zero salt tolerance. HIGHLY TOXIC (roots to 1.3 percent tropane alkaloids) and NO Egypt-specific cultivation restriction was found. That is an OPEN QUESTION to verify with the Ministry of Health and the Ministry of Agriculture, not an assurance.",Missing - reason undocumented,Not Specified,Low (<4 dS/m),High (waterlogging intolerant),Low (needs consistent moisture),Full Sun / Bright,temperate to montane; grown as a WINTER crop in subtropical areas,Not Specified,Not Specified,Not Specified,150,180,165.0,False,True,False,False,True
4040,Calendula officinalis,herb,Not Specified,erect,"ornamentals/turf, medicinals & aromatics","annual, biennial",grown on large scale,medium (50-150 cm),16.0,26.0,8.0,30.0,"light, medium",500.0,800.0,300.0,2500.0,moderate,30.0,25.0,50.0,60.0,,low (<4 dS/m),5.5,7.0,4.5,8.3,well (dry spells),very bright | very bright | very bright | clear skies,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw) | Photoperiod | long day (>14 hours)",long day (>14 hours),no input | Killing temp. early growth | no input,no input,Abiotic suscept.,Crop cycle | 120 | 180,Calendula officinalis,No specific observations were recorded,Data available,Not Specified,Low (<4 dS/m),Moderate (standard well-drained need),High (tolerates dry conditions),Full Sun / Bright,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",Long Day (>14h),Not Specified,Not Specified,120,180,150.0,False,False,False,False,False
