kegg_drug,drug_name,match_type,plant_ids,pubchem_cids,plant_names,plant_names_ar,atc_codes,diseases,atc_class,confidence
D00064,l-Menthol (JP19); Levomenthol,partial,P13,,Mentha piperita,نعناع فلفلي,,,,medium
D00113,Atropine (USP); Atropen (TN),exact,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,A03BA01;S01FA01,,الجهاز الهضمي والأيض;الحواس,high
D00138,Scopolamine (INN); Transderm scop (TN),exact,P07;P08,,Hyoscyamus muticus;Datura stramonium,سكران مصري;داتورة,A04AD01;N05CM05;S01FA02,,الجهاز العصبي;الجهاز الهضمي والأيض;الحواس,high
D00139,Methoxsalen (JP19/USP); Oxsoralen (TN); UVADEX (TN),exact,P05,,Ammi majus,خلة شيطاني,D05AD02;D05BA02,,الجلد,high
D00147,Hyoscyamine (USP),exact,P06,,Atropa belladonna,ست الحسن,A03BA03,,الجهاز الهضمي والأيض,high
D00157,Glycyrrhizin (JAN); Glycyrrhizic acid,exact,P18,,Glycyrrhiza glabra,عرق سوس,A05BA08,,الجهاز الهضمي والأيض,high
D00195,Codeine (USP); Codeine hydrate,exact,P10,,Papaver somniferum,خشخاش منوم,R05DA04,,الجهاز التنفسي,high
D00297,Digitoxin (JAN/USP/INN); Crystodigin (TN),exact,P09,,Digitalis lanata,ديجيتال,C01AA04,,القلب والأوعية,high
D00298,Digoxin (JP19/USP); Lanoxicaps (TN); Lanoxin (TN),exact,P09,,Digitalis lanata,ديجيتال,C01AA05,,القلب والأوعية,high
D00301,Atropine sulfate and diphenoxylate hydrochloride; Diphenoxylate and atropine; Lomotil (TN),partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,,,,medium
D00715,Methscopolamine bromide (USP); Hyoscine methobromide (INN); Pamine (TN),partial,P07;P08,,Hyoscyamus muticus;Datura stramonium,سكران مصري;داتورة,,,,medium
D00719,Hyoscyamine sulfate (USP); Hyoscyamine sulfate dihydrate; Egacene (TN),exact,P06,,Atropa belladonna,ست الحسن,A03BA03,,الجهاز الهضمي والأيض,high
D00842,Morphine sulfate (USP); Morphine sulfate hydrate (JP19); Morphine sulfate pentahydrate; Astramor PH (TN); Avinza (TN); Depodur (TN); Kadian (TN); MS contin (TN),exact,P10,,Papaver somniferum,خشخاش منوم,N02AA01,,الجهاز العصبي,high
D01004,Homatropine hydrobromide (JP19/USP); Isopto homatropine (TN),partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,S01FA05,,الحواس,medium
D01068,Vinblastine sulfate (JP19/USP); Exal (TN); Velban (TN),exact,P01,,Catharanthus roseus,ونكة مدغشقرية,L01CA01,,الأورام والمناعة,high
D01077,Methylatropine nitrate (USAN); Atropine methonitrate (JAN/INN); Ekomine (TN),partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,A03BB02,,الجهاز الهضمي والأيض,low
D01451,Scopolamine butylbromide (JP19); Butylscopolamine bromide; Buscopan (TN),partial,P07;P08,,Hyoscyamus muticus;Datura stramonium,سكران مصري;داتورة,A03BB01,,الجهاز الهضمي والأيض,medium
D01481,Dihydrocodeine phosphate (JP19); Dihydro (TN),partial,P10,,Papaver somniferum,خشخاش منوم,N02AA08,,الجهاز العصبي,low
D01648,Hyoscyamine methylbromide (JAN),partial,P06,,Atropa belladonna,ست الحسن,A03BA03,,الجهاز الهضمي والأيض,low
D01656,Brovincamine fumarate (JAN); Sabromin (TN),partial,P02,,Vinca minor,ونكة صغرى,,,,medium
D01976,N-Methylscopolamine methylsulfate (JAN); Daipin (TN),partial,P07;P08,,Hyoscyamus muticus;Datura stramonium,سكران مصري;داتورة,A03BB03;S01FA03,,الجهاز الهضمي والأيض;الحواس,low
D02004,Apomorphine hydrochloride (USP); Apomorphine hydrochloride hydrate (JAN); Apokyn (TN); Ixense (TN); Uprima (TN),partial,P10,,Papaver somniferum,خشخاش منوم,G04BE07;N04BC07,,الجهاز البولي التناسلي;الجهاز العصبي,medium
D02028,Diammonium glycyrrhizinate (JAN),partial,P18,,Glycyrrhiza glabra,عرق سوس,,,,medium
D02069,Atropine sulfate (JP19/USP); Ryjusea (TN),exact,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,A03BA01;S01FA01,,الجهاز الهضمي والأيض;الحواس,high
D02070,Homatropine methylbromide (USP); Equipin (TN),partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,A03BB06;S01FA05,,الجهاز الهضمي والأيض;الحواس,low
D02071,Scopolamine hydrobromide (USP); Scopolamine hydrobromide hydrate (JP19); Scopolamine hydrobromide trihydrate; Hysco (TN); Isopto hyoscine (TN),exact,P07;P08,,Hyoscyamus muticus;Datura stramonium,سكران مصري;داتورة,A04AD01;N05CM05;S01FA02,,الجهاز العصبي;الجهاز الهضمي والأيض;الحواس,high
D02101,Codeine phosphate (USP); Codeine phosphate hydrate (JP19),exact,P10,,Papaver somniferum,خشخاش منوم,R05DA04,,الجهاز التنفسي,high
D02128,Difenoxin hydrochloride and atropine sulfate; Motofen (TN),partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,,,,medium
D02146,Acetaminophen and codeine phosphate; Tylenol w/codeine (TN),partial,P10,,Papaver somniferum,خشخاش منوم,N02AJ06,,الجهاز العصبي,medium
D02197,Vincristine sulfate (JP19/USP); VCR; Marqibo (TN); Oncovin (TN); Vincasar (TN); Vincrex (TN),exact,P01,,Catharanthus roseus,ونكة مدغشقرية,L01CA02,,الأورام والمناعة,high
D02205,Ethylmorphine hydrochloride hydrate (JP19); Ethylmorphine hydrochloride dihydrate,partial,P10,,Papaver somniferum,خشخاش منوم,R05DA01;S01XA06,,الجهاز التنفسي;الحواس,low
D02264,Dipotassium glycyrrhizinate (JAN); Glycyrrhizinate dipotassium; Neubormitin (TN),partial,P18,,Glycyrrhiza glabra,عرق سوس,,,,medium
D02271,Morphine hydrochloride hydrate (JP19); Morphine hydrochloride trihydrate; Anpec (TN),exact,P10,,Papaver somniferum,خشخاش منوم,N02AA01,,الجهاز العصبي,high
D02273,"Isoproterenol sulfate, dexamethasone and atropine methybromide; Stmerin D (TN)",partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,,,,medium
D02377,Anethole (NF),exact,P14,,Foeniculum vulgare,شمر,,,,high
D02481,Artemisinin (INN); Qing Hau Sau,exact,P11,,Artemisia annua,الشيح الحولي,P01BE01,,الطفيليات,high
D02587,Metildigoxin (JP19); Lanirapid (TN),partial,P09,,Digitalis lanata,ديجيتال,C01AA08,,القلب والأوعية,medium
D02781,Acemannan (USAN/INN); Carrisyn (TN),exact,P16,,Aloe vera,صبار / الوة,,,,high
D03011,Atropine oxide hydrochloride (USAN); Genatropine hydrochloride,partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,,,,medium
D03579,Codeine polistirex (USAN),partial,P10,,Papaver somniferum,خشخاش منوم,R05DA04,,الجهاز التنفسي,low
D03580,Codeine sulfate (USP); Codeine sulfate trihydrate,exact,P10,,Papaver somniferum,خشخاش منوم,R05DA04,,الجهاز التنفسي,high
D03814,Atropine methylbromide (JAN),partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,A03BB02,,الجهاز الهضمي والأيض,low
D03825,Dihydrocodeine bitartrate (USP),partial,P10,,Papaver somniferum,خشخاش منوم,N02AA08,,الجهاز العصبي,low
D03863,Opium alkaloids and atropine (JP19); Opium alkaloids hydrochloride and atropine sulfate hydrate; Opiato (TN),partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,,,,medium
D03866,Opium alkaloids and scopolamine (JP19); Weak opium alkaloids and scopolamine (JP19); Opium alkaloids hydrochloride and scopolamine hydrobromide hydrate; Opisco (TN),partial,P07;P08,,Hyoscyamus muticus;Datura stramonium,سكران مصري;داتورة,,,,medium
D03872,Compound oxycodone and atropine (JP19); Pavinal atropine (TN),partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,,,,medium
D03876,Morphine and atropine (JP19); Morphine hydrochloride hydrate and atropine sulfate hydrate,partial,P06;P08;P10,,Atropa belladonna;Datura stramonium;Papaver somniferum,ست الحسن;داتورة;خشخاش منوم,N02AG01,,الجهاز العصبي,medium
D04116,Eucatropine hydrochloride (USP XXXII),partial,P06;P08,,Atropa belladonna;Datura stramonium,ست الحسن;داتورة,,,,medium
D04313,"Dihydrocodeine phosphate, dl-methylephedrine hydrochloride and Chlorpheniramine maleate; Huscode (TN)",partial,P10,,Papaver somniferum,خشخاش منوم,R06AB54,,الجهاز التنفسي,low
D04336,Cherry bark extract and codeine phosphate hydrate; Brocin codeine (TN),partial,P10,,Papaver somniferum,خشخاش منوم,R05FA01,,الجهاز التنفسي,medium
D04338,"Dihydrocodeine phosphate, ephedrine hydrochloride and ammmonium chloride; Sekicode (TN)",partial,P10,,Papaver somniferum,خشخاش منوم,,,,low
D04479,Hyoscyamine hydrobromide (USP),exact,P06,,Atropa belladonna,ست الحسن,A03BA03,,الجهاز الهضمي والأيض,high
D04849,dl-Menthol (JP19),partial,P13,,Mentha piperita,نعناع فلفلي,,,,medium
D04850,"Phenol, thymol and dl-menthol",partial,P13,,Mentha piperita,نعناع فلفلي,,,,medium
D04918,Menthol (USP),exact,P13,,Mentha piperita,نعناع فلفلي,,,,high
D04987,Monoammonium glycyrrhizinate (JAN); Ammonium glycyrrhizate (NF); Glycyron No.1 (TN),partial,P18,,Glycyrrhiza glabra,عرق سوس,,,,medium
D04990,"Monoammonium glycyrrhizinate, glycine and L-cysteine hydrochloride; Stronger neo minophagen C (TN)",partial,P18,,Glycyrrhiza glabra,عرق سوس,,,,medium
D04993,"Monoammonium glycyrrhizinate, glycine and DL-methionine; Glycyron (TN)",partial,P18,,Glycyrrhiza glabra,عرق سوس,,,,medium
D06881,Acetyldigitoxin (INN); Acylanid (TN),partial,P09,,Digitalis lanata,ديجيتال,C01AA01,,القلب والأوعية,low
D07285,Nicomorphine (INN),partial,P10,,Papaver somniferum,خشخاش منوم,N02AA04,,الجهاز العصبي,medium
D07286,Diamorphine (BAN); Heroin; Diacetylmorphine,partial,P10,,Papaver somniferum,خشخاش منوم,N07BC06,,الجهاز العصبي,medium
D07460,Apomorphine (BAN); Uprima (TN),partial,P10,,Papaver somniferum,خشخاش منوم,G04BE07;N04BC07,,الجهاز البولي التناسلي;الجهاز العصبي,medium
