commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp,matched_api,n_apis_in_product
ALEXLACTIVE 200 SUGAR COATED TAB.,أليكسلاكتيفي 200 سوجار كواتيد,ALOIN + BELLADONA,ALEXANDRIA,LAXATIVE,ORAL.SOLID,36.0,aloin,1
ATROPINE 1% EYE DROPS 10 ML,أتروبيني 1% إيي,ATROPINE SULPHATE,ORCHIDIA PHARMACEUTICAL INDUSTRIES,ANTI-MUSCARINIC.ANTISPASMODIC,EYE,13.0,atropine,1
ATROPINE SULFATE 1MG/ML 100 I.V./I.M. AMP. (EL-NILE),أتروبيني سولفاتي /مل 100 ./,ATROPINE SULPHATE,EL NILE.,ANTI-DOTE,INJECTION,650.0,atropine,1
ATROPINE SULPHATE 0.1% 6 AMP. (MEMPHIS),أتروبيني سولفاتي 0.1%,ATROPINE SULPHATE,MEMPHIS,ANTI-DOTE,INJECTION,39.0,atropine,1
ATROPINE SULPHATE 1MG/ML 100 AMP. (CID),أتروبيني سولفاتي /مل,ATROPINE SULPHATE,CID,ANTI-MUSCARINIC.ANTISPASMODIC,INJECTION,500.0,atropine,1
ATROPINE SULPHATE 1MG/ML 25 AMP. (MISR),أتروبيني سولفاتي /مل,ATROPINE SULPHATE,MISR,ANTIMUSCARINIC,INJECTION,162.5,atropine,1
DONALASE-S 20 TAB.,دونالاسي-س,ATROPINE+HYOSCINE+HYOSCYAMINE+PHENOBARBITAL+SANZYME 2000,MISR,.,ORAL.SOLID,6.5,atropine,3
ENTEROQUIN COMP. PD. FOR ORAL SUSP. 60 ML,إنتيروكوين كومب. بد. أورال,HOMATROPINE METHYLBROMIDE+IODOQUINOL+KAOLIN+PHTHALYL SULPHATHIAZOLE+SULPHADIMIDINE+VITAMIN B1+B6+B12,ARAB DRUG COMPANY (ADCO),ANTIDIARRHOEAL,ORAL.LIQUID,4.55,atropine,1
ISOPTO ATROPINE 1% EYE DROPS 5 ML,إسوبتو أتروبيني 1% إيي,ATROPINE SULPHATE,NOVARTIS > NOVARTIS SCIENTIFIC OFFICE,ANTI-MUSCARINIC.ANTISPASMODIC,EYE,12.5,atropine,1
SOLVAURE 12 EFF. SACHET,سولفوري 12 إفف,ATROPINE SULPHATE+COLCHICINE+PIPERAZINE,JEDCO INT. CO. FOR PHARMACEUTICALS,ANTIGOUT.ANALGESIC,EFF,6.5,atropine,1
SOLVINAL EFF. GR. 10 SACHETS (N/A),سولفينال إفف. جر,ATROPINE SULPHATE+COLCHICINE+PIPERAZINE,MEMPHIS,ANTIGOUT.ANALGESIC,EFF,5.0,atropine,1
STREPTOQUIN 20 TABS.,ستريبتوكوين,DIIODOHYDROXYQUINOLINE+HOMATROPINE METHYLBROMIDE+PHTHALYL SULFATHIAZOLE+STREPTOMYCIN,MUP,ANTIDIARRHEAL,ORAL.SOLID,46.0,atropine,1
STREPTOQUIN DRY SUSP. 60 ML,ستريبتوكوين دري,DIIODOHYDROXYQUINOLINE+HOMATROPINE METHYLBROMIDE+PHTHALYL SULFATHIAZOLE+STREPTOMYCIN,MUP,ANTIDIARRHEAL,ORAL.LIQUID,18.0,atropine,1
UR-AID EFF. GRANUL. 12 SACHETS (N/A),أور-أيد إفف. جرانول,ATROPINE SULPHATE+COLCHICINE+PIPERAZINE,PHAROPHARMA,ANTIGOUT.ANALGESIC,EFF,7.25,atropine,1
URIVIN 10 EFF. SACHETS (N/A),أوريفين 10 إفف. ساتشيتس,ATROPINE SULPHATE+COLCHICINE+KHELLIN+PIPERAZINE,AMOUN,URINARY.ANALGESIC.ANTISEPTIC,EFF,31.0,atropine,2
UROSOLVINE EFF. GRAN. 12 SACHETS,أوروسولفيني إفف. جران,ATROPINE SULPHATE+COLCHICINE+PIPERAZINE,EL NILE.,ANTIGOUT.ANALGESIC,EFF,38.0,atropine,1
AZOTEC MIX MASSAGE SPRAY 200 ML,أزوتيك ميكس ماسساجي,BISABOLIFETM(BISABOLOL)+MAGNESIUM SULFATE MENTHOL+PERSEA GRATISSIMA OIL (AVOCADO OIL) BUTYROSPERMUM PARKIR BUTTER(SHEA BUTTER) CINNAMOMUM CAMPHORA BARK OIL(CAMPHORA OIL) ALLANTOIN+EUCALYPTUS GLOBULUS LEAF OIL(EUCALYPTUS) LAUROCAPRAM+ARCTIUM LAPPA ROOT EXTRACT+TOCOPHERYL ACETATE+TRIETHANOLAMINE+POLYSORBATE 80+CARBOMER+PHENOXYETHANOL+AQUA+EUGENIA CARYOPHYLLUS FLOWER EXTRACT(CLOVE),LEVEN > KONCIEVE,MASSAGE SPRAY,SPRAY,350.0,bisabolol,2
BARNAFREE OINT. 30 GM,بارنافري,PEANUT OIL+SESAME OIL (B-SITOSTEROL)+D-PANTHENOL+BEESWAX+CANDELILLA WAX+VITMIN E+ALPHA BISABOLOL+CHAMOMILLE OIL+CHLORHEXIDINE.,MELANO PHARMA,SKIN CARE,TOPICAL,80.0,bisabolol,1
CADYROSE VAGINAL GEL 100 ML,كاديروسي,BISABOLOL+SODIUM COCETH SULFATE+LAURYL GLUCOSIDE+GLYCERIN,LANA FOR TOOTHPASTE AND COSMETICS > COPAD PHARMA,VAGINAL CARE,VAGINAL,30.0,bisabolol,1
CADYROSE VAGINAL GEL 200 ML,كاديروسي,BISABOLOL+SODIUM COCETH SULFATE+LAURYL GLUCOSIDE+GLYCERIN,LANA FOR TOOTHPASTE AND COSMETICS > COPAD PHARMA,VAGINAL CARE,VAGINAL,43.0,bisabolol,1
CIVELLE DEO PLUS DEODORANT 60 ML,سيفيللي ديو بلوس ديودورانت,ALUM ROCK + BISABOLOL+ LACTIC ACID+ ALLANTOIN+ CHITOSAN+ CHLORHEXIDINE+ TITANIUM DIOXIDE+ ZINC OXIDE+ LUMISKIN+ MAGNESIUM ASCORBYL PHOSPHATE+ GLYCYRRHIZA GLABRA ROOT EXTRACT+ LICORICE EXTRACT + ZINC GLUCONATE+ MAGNESIUM GLUCONATE+ PROPYLENE GLYCOL+ PARFUM+ AQUA,NILE COSMETICS > KAMMA PHARMA,DEODORANT,UNKNOWN,250.0,bisabolol,1
EMO SOFT CREAM 15 GM,إمو سوفت,ZINC OXIDE+CAPRIC TRIGLYCERIDE+HEXYL LAURATE+PANTHENOL+GLYCEROL+BISABOLOL,GLOBAL NAPI PHARMACEUTICALS,MOISTURIZING TOPICAL,TOPICAL,40.0,bisabolol,1
EMO SOFT CREAM 30 GM,إمو سوفت,ZINC OXIDE+CAPRIC TRIGLYCERIDE+HEXYL LAURATE+PANTHENOL+GLYCEROL+BISABOLOL,GLOBAL NAPI PHARMACEUTICALS,skin care.MOISTURIZING,TOPICAL,60.0,bisabolol,1
