adm1_pcode,gov_en,gov_ar,lat,lon,parameter,year,month,value,source_folder
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,1,12.29,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,2,14.68,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,3,19.25,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,4,24.29,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,5,27.75,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,6,29.13,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,7,28.1,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,8,26.28,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,9,22.47,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,10,18.56,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,11,13.21,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2020,12,12.3,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,1,12.62,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,2,15.96,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,3,19.9,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,4,25.55,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,5,28.62,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,6,29.46,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,7,28.17,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,8,25.94,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,9,22.52,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,10,18.32,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,11,13.93,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2021,12,10.67,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,1,11.98,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,2,15.25,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,3,19.33,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,4,23.53,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,5,26.75,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,6,28.85,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,7,28.69,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,8,25.61,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,9,22.96,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,10,17.39,cairo
EG01,Cairo,القاهرة,30.0836,31.2611,ALLSKY_SFC_SW_DWN,2022,11,13.98,cairo
