lat,lon,parameter,year,month,value,source_file
22.5,25.5,ALLSKY_SFC_SW_DWN,2020,1,19.06,الاشعاع الشمسى الهابط.csv
22.5,26.5,ALLSKY_SFC_SW_DWN,2020,1,19.04,الاشعاع الشمسى الهابط.csv
22.5,27.5,ALLSKY_SFC_SW_DWN,2020,1,18.81,الاشعاع الشمسى الهابط.csv
22.5,28.5,ALLSKY_SFC_SW_DWN,2020,1,18.78,الاشعاع الشمسى الهابط.csv
22.5,29.5,ALLSKY_SFC_SW_DWN,2020,1,18.78,الاشعاع الشمسى الهابط.csv
22.5,30.5,ALLSKY_SFC_SW_DWN,2020,1,18.72,الاشعاع الشمسى الهابط.csv
22.5,31.5,ALLSKY_SFC_SW_DWN,2020,1,18.79,الاشعاع الشمسى الهابط.csv
22.5,32.5,ALLSKY_SFC_SW_DWN,2020,1,18.76,الاشعاع الشمسى الهابط.csv
22.5,33.5,ALLSKY_SFC_SW_DWN,2020,1,18.77,الاشعاع الشمسى الهابط.csv
22.5,34.5,ALLSKY_SFC_SW_DWN,2020,1,18.64,الاشعاع الشمسى الهابط.csv
23.5,25.5,ALLSKY_SFC_SW_DWN,2020,1,17.94,الاشعاع الشمسى الهابط.csv
23.5,26.5,ALLSKY_SFC_SW_DWN,2020,1,18.42,الاشعاع الشمسى الهابط.csv
23.5,27.5,ALLSKY_SFC_SW_DWN,2020,1,18.24,الاشعاع الشمسى الهابط.csv
23.5,28.5,ALLSKY_SFC_SW_DWN,2020,1,18.26,الاشعاع الشمسى الهابط.csv
23.5,29.5,ALLSKY_SFC_SW_DWN,2020,1,18.13,الاشعاع الشمسى الهابط.csv
23.5,30.5,ALLSKY_SFC_SW_DWN,2020,1,17.92,الاشعاع الشمسى الهابط.csv
23.5,31.5,ALLSKY_SFC_SW_DWN,2020,1,18.3,الاشعاع الشمسى الهابط.csv
23.5,32.5,ALLSKY_SFC_SW_DWN,2020,1,18.04,الاشعاع الشمسى الهابط.csv
23.5,33.5,ALLSKY_SFC_SW_DWN,2020,1,18.1,الاشعاع الشمسى الهابط.csv
23.5,34.5,ALLSKY_SFC_SW_DWN,2020,1,17.99,الاشعاع الشمسى الهابط.csv
24.5,25.5,ALLSKY_SFC_SW_DWN,2020,1,16.74,الاشعاع الشمسى الهابط.csv
24.5,26.5,ALLSKY_SFC_SW_DWN,2020,1,17.29,الاشعاع الشمسى الهابط.csv
24.5,27.5,ALLSKY_SFC_SW_DWN,2020,1,17.36,الاشعاع الشمسى الهابط.csv
24.5,28.5,ALLSKY_SFC_SW_DWN,2020,1,17.41,الاشعاع الشمسى الهابط.csv
24.5,29.5,ALLSKY_SFC_SW_DWN,2020,1,17.55,الاشعاع الشمسى الهابط.csv
24.5,30.5,ALLSKY_SFC_SW_DWN,2020,1,17.52,الاشعاع الشمسى الهابط.csv
24.5,31.5,ALLSKY_SFC_SW_DWN,2020,1,17.85,الاشعاع الشمسى الهابط.csv
24.5,32.5,ALLSKY_SFC_SW_DWN,2020,1,17.71,الاشعاع الشمسى الهابط.csv
24.5,33.5,ALLSKY_SFC_SW_DWN,2020,1,17.48,الاشعاع الشمسى الهابط.csv
24.5,34.5,ALLSKY_SFC_SW_DWN,2020,1,17.27,الاشعاع الشمسى الهابط.csv
25.5,25.5,ALLSKY_SFC_SW_DWN,2020,1,16.04,الاشعاع الشمسى الهابط.csv
25.5,26.5,ALLSKY_SFC_SW_DWN,2020,1,16.53,الاشعاع الشمسى الهابط.csv
25.5,27.5,ALLSKY_SFC_SW_DWN,2020,1,16.38,الاشعاع الشمسى الهابط.csv
25.5,28.5,ALLSKY_SFC_SW_DWN,2020,1,16.58,الاشعاع الشمسى الهابط.csv
25.5,29.5,ALLSKY_SFC_SW_DWN,2020,1,16.87,الاشعاع الشمسى الهابط.csv
25.5,30.5,ALLSKY_SFC_SW_DWN,2020,1,16.91,الاشعاع الشمسى الهابط.csv
25.5,31.5,ALLSKY_SFC_SW_DWN,2020,1,17.14,الاشعاع الشمسى الهابط.csv
25.5,32.5,ALLSKY_SFC_SW_DWN,2020,1,16.84,الاشعاع الشمسى الهابط.csv
25.5,33.5,ALLSKY_SFC_SW_DWN,2020,1,16.96,الاشعاع الشمسى الهابط.csv
25.5,34.5,ALLSKY_SFC_SW_DWN,2020,1,16.07,الاشعاع الشمسى الهابط.csv
