adm1_pcode,gov_en,gov_ar,lat,lon,area_sqkm
EG01,Cairo,القاهرة,29.966496,31.572883,2888.81
EG02,Alexandria,الاسكندرية,30.798175,29.707656,2510.05
EG03,Port Said,بورسعيد,31.066977,32.429971,980.29
EG04,Suez,السويس,29.621884,32.121394,9358.1
EG11,Damietta,دمياط,31.393679,31.628311,752.89
EG12,Dakahlia,الدقهلية,30.966366,31.468504,3491.66
EG13,Sharkia,الشرقية,30.649608,31.772194,5333.95
EG14,Kalyoubia,القليوبية,30.360127,31.209127,1132.1
EG15,Kafr El-Shikh,كفر الشيخ,31.309825,30.901371,3265.06
EG16,Gharbia,الغربية,30.871644,31.016873,1973.92
EG17,Menoufia,المنوفية,30.358457,30.661348,2146.29
EG18,Behera,البحيرة,30.689098,30.356267,11347.18
EG19,Ismailia,الإسماعيلية,30.603266,32.550168,5458.92
EG21,Giza,الجيزة,28.935355,29.391946,36326.42
EG22,Beni Suef,بنى سويف,28.725392,31.33827,10613.3
EG23,Fayoum,الفيوم,29.318008,30.585272,5319.05
EG24,Menia,المنيا,28.156272,31.610218,31295.35
EG25,Assiut,أسيوط,27.358942,31.794921,16428.19
EG26,Suhag,سوهاج,26.725556,32.17473,9993.19
EG27,Qena,قنا,25.963002,33.154071,13057.66
EG28,Aswan,أسوان,23.60616,32.263816,57733.67
EG29,Luxor,مدينة الأقصر,25.657885,32.725153,595.74
EG31,Red Sea,البحر الأحمر,25.588028,33.943782,121331.89
EG32,New Valley,الوادى الجديد,24.719282,28.709093,426810.51
EG33,Matrouh,مطروح,29.667254,27.403019,158449.64
EG34,North Sinai,شمال سيناء,30.425338,33.700807,26581.52
EG35,South Sinai,جنوب سيناء,28.836051,33.901875,29378.11
