adm1_pcode,gov_en,gov_ar,bdod,cec,cfvo,clay,nitrogen,phh2o,sand,silt,soc
EG01,Cairo,القاهرة,1.41,15.0,31.1,29.8,0.45,8.0,41.1,29.1,3.6
EG02,Alexandria,الاسكندرية,1.38,16.8,7.7,24.4,1.64,7.9,45.0,30.6,17.9
EG03,Port Said,بورسعيد,1.42,16.9,10.8,32.3,1.56,7.9,33.9,33.8,18.0
EG04,Suez,السويس,1.39,14.8,13.4,29.4,0.96,8.0,40.5,30.1,4.4
EG11,Damietta,دمياط,1.31,24.6,5.1,33.3,3.73,7.2,35.4,31.3,70.0
EG12,Dakahlia,الدقهلية,1.3,20.3,5.9,36.4,3.42,7.1,36.6,26.9,51.9
EG13,Sharkia,الشرقية,1.33,20.6,6.1,29.7,2.78,7.4,37.9,32.4,35.6
EG14,Kalyoubia,القليوبية,1.33,17.8,9.9,29.7,3.44,7.3,42.4,27.9,46.0
EG15,Kafr El-Shikh,كفر الشيخ,1.33,20.4,6.0,28.9,4.15,7.1,37.0,34.1,64.8
EG16,Gharbia,الغربية,1.28,19.3,6.2,38.2,2.69,7.8,36.0,25.8,36.0
EG17,Menoufia,المنوفية,1.38,17.8,6.3,30.8,1.67,7.9,44.3,25.0,16.3
EG18,Behera,البحيرة,1.4,16.1,6.6,27.6,1.97,7.8,40.5,31.9,17.1
EG19,Ismailia,الإسماعيلية,1.41,15.1,18.6,35.5,0.9,8.0,32.5,31.9,5.4
EG21,Giza,الجيزة,1.35,14.4,22.5,29.8,0.89,7.9,56.5,13.8,4.2
EG22,Beni Suef,بنى سويف,1.32,16.0,26.9,28.0,1.08,8.0,52.3,19.7,5.8
EG23,Fayoum,الفيوم,1.26,20.8,12.6,26.0,2.38,7.8,51.8,22.2,26.5
EG24,Menia,المنيا,1.33,14.2,21.3,28.6,1.03,8.1,53.7,17.7,3.9
EG25,Assiut,أسيوط,1.33,14.5,27.0,28.2,0.59,8.1,44.3,27.5,3.7
EG26,Suhag,سوهاج,1.36,15.0,26.4,24.5,0.58,8.1,50.9,24.6,4.9
EG27,Qena,قنا,1.34,20.0,22.7,16.2,0.88,8.1,56.4,27.4,3.4
EG28,Aswan,أسوان,1.34,24.3,34.7,15.7,1.19,8.1,55.5,28.8,4.1
EG29,Luxor,مدينة الأقصر,1.31,17.2,29.5,19.7,1.16,8.1,58.8,21.5,3.2
EG31,Red Sea,البحر الأحمر,1.37,16.4,36.1,28.0,0.68,8.0,41.1,31.0,4.3
EG32,New Valley,الوادى الجديد,1.35,17.0,34.5,15.8,0.72,8.2,60.1,24.1,2.9
EG33,Matrouh,مطروح,1.29,19.5,18.2,26.6,1.18,8.0,46.7,26.7,18.1
EG34,North Sinai,شمال سيناء,1.43,13.9,21.8,29.3,0.34,7.9,34.6,36.1,5.6
EG35,South Sinai,جنوب سيناء,1.4,15.6,29.5,30.1,0.67,8.0,28.9,41.0,4.0
