kegg_drug,drug_name,match_type,plant_ids,pubchem_cids,plant_names,plant_names_ar,atc_codes,atc_class,confidence,primary_drug_name,synonyms,plant_ids_list,plant_names_list,plant_names_ar_list,atc_codes_clean,atc_codes_list
D00064,l-Menthol (JP19); Levomenthol,partial,P13,,Mentha piperita,نعناع فلفلي,,,medium,l-Menthol,Levomenthol,['P13'],['Mentha piperita'],['نعناع فلفلي'],Unclassified,['Unclassified']
D00113,Atropine (USP); Atropen (TN),exact,P06,,Atropa belladonna,ست الحسن,A03BA01;S01FA01,الجهاز الهضمي والأيض;الحواس,high,Atropine,Atropen,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",A03BA01;S01FA01,"['A03BA01', 'S01FA01']"
D00113,Atropine (USP); Atropen (TN),exact,P08,,Datura stramonium,داتورة,A03BA01;S01FA01,الجهاز الهضمي والأيض;الحواس,high,Atropine,Atropen,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",A03BA01;S01FA01,"['A03BA01', 'S01FA01']"
D00138,Scopolamine (INN); Transderm scop (TN),exact,P07,,Hyoscyamus muticus,سكران مصري,A04AD01;N05CM05;S01FA02,الجهاز العصبي;الجهاز الهضمي والأيض;الحواس,high,Scopolamine,Transderm scop,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",A04AD01;N05CM05;S01FA02,"['A04AD01', 'N05CM05', 'S01FA02']"
D00138,Scopolamine (INN); Transderm scop (TN),exact,P08,,Datura stramonium,داتورة,A04AD01;N05CM05;S01FA02,الجهاز العصبي;الجهاز الهضمي والأيض;الحواس,high,Scopolamine,Transderm scop,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",A04AD01;N05CM05;S01FA02,"['A04AD01', 'N05CM05', 'S01FA02']"
D00139,Methoxsalen (JP19/USP); Oxsoralen (TN); UVADEX (TN),exact,P05,,Ammi majus,خلة شيطاني,D05AD02;D05BA02,الجلد,high,Methoxsalen,Oxsoralen; UVADEX,['P05'],['Ammi majus'],['خلة شيطاني'],D05AD02;D05BA02,"['D05AD02', 'D05BA02']"
D00147,Hyoscyamine (USP),exact,P06,,Atropa belladonna,ست الحسن,A03BA03,الجهاز الهضمي والأيض,high,Hyoscyamine,,['P06'],['Atropa belladonna'],['ست الحسن'],A03BA03,['A03BA03']
D00157,Glycyrrhizin (JAN); Glycyrrhizic acid,exact,P18,,Glycyrrhiza glabra,عرق سوس,A05BA08,الجهاز الهضمي والأيض,high,Glycyrrhizin,Glycyrrhizic acid,['P18'],['Glycyrrhiza glabra'],['عرق سوس'],A05BA08,['A05BA08']
D00195,Codeine (USP); Codeine hydrate,exact,P10,,Papaver somniferum,خشخاش منوم,R05DA04,الجهاز التنفسي,high,Codeine,Codeine hydrate,['P10'],['Papaver somniferum'],['خشخاش منوم'],R05DA04,['R05DA04']
D00297,Digitoxin (JAN/USP/INN); Crystodigin (TN),exact,P09,,Digitalis lanata,ديجيتال,C01AA04,القلب والأوعية,high,Digitoxin,Crystodigin,['P09'],['Digitalis lanata'],['ديجيتال'],C01AA04,['C01AA04']
D00298,Digoxin (JP19/USP); Lanoxicaps (TN); Lanoxin (TN),exact,P09,,Digitalis lanata,ديجيتال,C01AA05,القلب والأوعية,high,Digoxin,Lanoxicaps; Lanoxin,['P09'],['Digitalis lanata'],['ديجيتال'],C01AA05,['C01AA05']
D00301,Atropine sulfate and diphenoxylate hydrochloride; Diphenoxylate and atropine; Lomotil (TN),partial,P06,,Atropa belladonna,ست الحسن,,,medium,Atropine sulfate and diphenoxylate hydrochloride,Diphenoxylate and atropine; Lomotil,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D00301,Atropine sulfate and diphenoxylate hydrochloride; Diphenoxylate and atropine; Lomotil (TN),partial,P08,,Datura stramonium,داتورة,,,medium,Atropine sulfate and diphenoxylate hydrochloride,Diphenoxylate and atropine; Lomotil,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D00715,Methscopolamine bromide (USP); Hyoscine methobromide (INN); Pamine (TN),partial,P07,,Hyoscyamus muticus,سكران مصري,,,medium,Methscopolamine bromide,Hyoscine methobromide; Pamine,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",Unclassified,['Unclassified']
D00715,Methscopolamine bromide (USP); Hyoscine methobromide (INN); Pamine (TN),partial,P08,,Datura stramonium,داتورة,,,medium,Methscopolamine bromide,Hyoscine methobromide; Pamine,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",Unclassified,['Unclassified']
D00719,Hyoscyamine sulfate (USP); Hyoscyamine sulfate dihydrate; Egacene (TN),exact,P06,,Atropa belladonna,ست الحسن,A03BA03,الجهاز الهضمي والأيض,high,Hyoscyamine sulfate,Hyoscyamine sulfate dihydrate; Egacene,['P06'],['Atropa belladonna'],['ست الحسن'],A03BA03,['A03BA03']
D00842,Morphine sulfate (USP); Morphine sulfate hydrate (JP19); Morphine sulfate pentahydrate; Astramor PH (TN); Avinza (TN); Depodur (TN); Kadian (TN); MS contin (TN),exact,P10,,Papaver somniferum,خشخاش منوم,N02AA01,الجهاز العصبي,high,Morphine sulfate,Morphine sulfate hydrate; Morphine sulfate pentahydrate; Astramor PH; Avinza; Depodur; Kadian; MS contin,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA01,['N02AA01']
D01004,Homatropine hydrobromide (JP19/USP); Isopto homatropine (TN),partial,P06,,Atropa belladonna,ست الحسن,S01FA05,الحواس,medium,Homatropine hydrobromide,Isopto homatropine,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",S01FA05,['S01FA05']
D01004,Homatropine hydrobromide (JP19/USP); Isopto homatropine (TN),partial,P08,,Datura stramonium,داتورة,S01FA05,الحواس,medium,Homatropine hydrobromide,Isopto homatropine,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",S01FA05,['S01FA05']
D01068,Vinblastine sulfate (JP19/USP); Exal (TN); Velban (TN),exact,P01,,Catharanthus roseus,ونكة مدغشقرية,L01CA01,الأورام والمناعة,high,Vinblastine sulfate,Exal; Velban,['P01'],['Catharanthus roseus'],['ونكة مدغشقرية'],L01CA01,['L01CA01']
D01077,Methylatropine nitrate (USAN); Atropine methonitrate (JAN/INN); Ekomine (TN),partial,P06,,Atropa belladonna,ست الحسن,A03BB02,الجهاز الهضمي والأيض,low,Methylatropine nitrate,Atropine methonitrate; Ekomine,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",A03BB02,['A03BB02']
D01077,Methylatropine nitrate (USAN); Atropine methonitrate (JAN/INN); Ekomine (TN),partial,P08,,Datura stramonium,داتورة,A03BB02,الجهاز الهضمي والأيض,low,Methylatropine nitrate,Atropine methonitrate; Ekomine,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",A03BB02,['A03BB02']
D01451,Scopolamine butylbromide (JP19); Butylscopolamine bromide; Buscopan (TN),partial,P07,,Hyoscyamus muticus,سكران مصري,A03BB01,الجهاز الهضمي والأيض,medium,Scopolamine butylbromide,Butylscopolamine bromide; Buscopan,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",A03BB01,['A03BB01']
D01451,Scopolamine butylbromide (JP19); Butylscopolamine bromide; Buscopan (TN),partial,P08,,Datura stramonium,داتورة,A03BB01,الجهاز الهضمي والأيض,medium,Scopolamine butylbromide,Butylscopolamine bromide; Buscopan,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",A03BB01,['A03BB01']
D01481,Dihydrocodeine phosphate (JP19); Dihydro (TN),partial,P10,,Papaver somniferum,خشخاش منوم,N02AA08,الجهاز العصبي,low,Dihydrocodeine phosphate,Dihydro,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA08,['N02AA08']
D01648,Hyoscyamine methylbromide (JAN),partial,P06,,Atropa belladonna,ست الحسن,A03BA03,الجهاز الهضمي والأيض,low,Hyoscyamine methylbromide,,['P06'],['Atropa belladonna'],['ست الحسن'],A03BA03,['A03BA03']
